year,overall,ncaa_tournament,badgers_result,ncaa_tournament_region,ncaa_tournament_game_arena,ncaa_tournament_game_arena_location,attendance,game_time,game_date,broadcast_station,round,opponent,opponent_seed,opponent_half,opponent_final,badgers_seed,badgers_half,badgers_half_margin,badgers_final,badgers_final_margin,badgers_url,espn_recap_url,espn_boxscore_url,ncaa_tournament_region_city
2000,22-13,4-0,Win,West Region,The Pit,"Albuquerque, New Mexico",NULL,NULL,"March 25, 2000",CBS,Elite Eight,Purdue,6,28,60,8,31,3,64,4,http://www.uwbadgers.com/sports/m-baskbl/stats/1999-2000/03-25-00.html,,,"Albuquerque, New Mexico"
2000,21-13,3-0,Win,West Region,The Pit,"Albuquerque, New Mexico","16,004",NULL,"March 23, 2000",CBS,Sweet Sixteen,LSU,4,14,48,8,22,8,61,13,http://www.uwbadgers.com/sports/m-baskbl/stats/1999-2000/03-23-00.html,,,"Albuquerque, New Mexico"
2000,20-13,2-0,Win,West Region,Huntsman Center,"Salt Lake City, Utah","13,587",NULL,"March 18, 2000",CBS,Second Round,Arizona,1,23,59,8,28,5,66,7,http://www.uwbadgers.com/sports/m-baskbl/stats/1999-2000/03-18-00.html,,,"Albuquerque, New Mexico"
2000,19-13,1-0,Win,West Region,Huntsman Center,"Salt Lake City, Utah","13,464",NULL,"March 16, 2000",CBS,First Round,Fresno State,9,34,56,8,30,-4,66,10,http://www.uwbadgers.com/sports/m-baskbl/stats/1999-2000/03-16-00.html,,,"Albuquerque, New Mexico"
1999,22-10,0-1,Loss,East Region,Charlotte Coliseum,"Charlotte, North Carolina","15,007",NULL,"March 12, 1999",CBS,First Round,SW Missouri State,12,21,43,5,12,-9,32,-11,http://www.uwbadgers.com/sports/m-baskbl/stats/1998-1999/03-12-99.html,,,"East Rutherford, New Jersey"
1997,18-10,0-1,Loss,East Region,Civic Arena,"Pittsburgh, Pennsylvania","17,300",NULL,"March 14, 1997",CBS,First Round,Texas,10,33,71,7,24,-9,58,-13,http://www.uwbadgers.com/sports/m-baskbl/archive/061413aah.html,,,"Syracuse, New York"
1994,18-11,1-1,Loss,West Region,Dee Events Center,"Ogden, Utah","12,126",NULL,"March 20, 1994",CBS,Second Round,Missouri,1,54,109,9,47,-7,96,-13,http://www.uwbadgers.com/sports/m-baskbl/archive/061413aaf.html,,,"Los Angeles, California"
1994,18-10,1-0,Win,West Region,Dee Events Center,"Ogden, Utah","12,126",NULL,"March 18, 1994",CBS,First Round,Cincinnati,8,32,72,9,40,8,80,8,http://www.uwbadgers.com/sports/m-baskbl/archive/061413aac.html,,,"Los Angeles, California"
1947,16-6,1-1,Win,East Region,Madison Square Garden,"New York, New York",NULL,NULL,"March 22, 1947",NULL,Eastern Regional Third Place Game,Navy,NULL,24,49,NULL,29,5,50,1,http://www.uwbadgers.com/sports/m-baskbl/archive/031914aab.html,,,"New York, New York"
1947,16-5,0-1,Loss,East Region,Madison Square Garden,"New York, New York","18,000",NULL,"March 20, 1947",NULL,Regional Semifinal,City College of New York,NULL,27,70,NULL,37,10,56,-14,http://www.uwbadgers.com/sports/m-baskbl/archive/032414aab.html,,,"New York, New York"
1941,20-3,3-0,Win,NULL,Municipal Auditorium,"Kansas City, Missouri","9,350",NULL,"March 29, 1941",NULL,Championship,Washington State,NULL,24,34,NULL,22,-2,39,5,http://www.uwbadgers.com/sports/m-baskbl/archive/061213aab.html,,,"Kansas City, Missouri"
1941,20-2,2-0,Win,East Region,UW Field House,"Madison, Wisconsin","14,000",NULL,"March 22, 1941",NULL,Regional Final,Pittsburgh,NULL,18,30,NULL,14,-4,36,6,http://www.uwbadgers.com/sports/m-baskbl/archive/032414aad.html,,,"Madison, Wisconsin"
1941,19-3,1-0,Win,East Region,UW Field House,"Madison, Wisconsin","12,500",NULL,"March 21, 1941",NULL,Regional Semifinal,Dartmouth,NULL,17,50,NULL,21,4,51,1,http://www.uwbadgers.com/sports/m-baskbl/archive/032414aag.html,,,"Madison, Wisconsin"
