Title,Speaker,Day,Time,Place,Description
Breaking local stories with economic data (Sponsored by Donald W. Reynolds National Center for Business Journalism),"Paul Overberg, Jeannine Aversa, Thomas Dail",Wednesday,2 p.m. - 5 p.m.,Regency North,
CAR Conference Registration (Wednesday),TBA,Wednesday,3 p.m. - 5 p.m.,2nd Floor,Registration will be located on the 2nd floor of the Hyatt Regency Louisville.
CAR Conference Sales (Thursday),TBA,Thursday,7:30 a.m. - 5 p.m.,2nd Floor,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, including the newest title in the IRE beat book series. The large selection of titles we carry will certainly include your interests. The winners of the IRE T-shirt contest will be displayed and on sale. The sales table is also the place to get your ticket to ""A Night on the Town"" an event that is sure to be a fun time! All proceeds from your purchase help support IRE and its mission."
CAR Conference Registration (Thursday),TBA,Thursday,7:30 a.m. - 5 p.m.,2nd Floor,Registration will be located on the 2nd floor of the Hyatt Regency Louisville.
Making the best use of the conference,"Jaimi Dowdell, Mark Horvit, Megan Luther",Thursday,8:30 a.m. - 8:50 a.m.,Regency Center,Welcome to the conference! IRE staff will highlight key sessions and events that you won't want to miss while in Louisville. We'll also give you a brief rundown on some of the resources IRE has to offer.
Build your first News App with Django (Friday),TBA,Thursday,9 a.m. - 11:50 a.m.,Seneca/Iroquois,"This mini-boot camp will walk you through the process of taking a dataset from raw data and turning it into a searchable online database using the Python language and the Django Web framework. &nbsp;Only 18 seats are available and there is an additional $70 registration fee. &nbsp;Pre-registrations are accepted on a first-come, first-served basis. &nbsp;Prospective attendees must register and fill out an application for this hands-on camp. &nbsp;Please "
My friend FRED: Using Fed data tools to add context to stories,Keith Taylor,Thursday,9 a.m. - 9:50 a.m.,Churchill Downs,"An introduction to Federal Reserve Economic Data (FRED), the Federal Reserve Bank of St. Louis' signature economics database, with easy directions for journalists to tap into it to add context to their stories related to the economy. FRED contains more than 60,000 frequently updated sets of data, ranging from consumer price indexes to regional (metropolitan statistical area) housing charts and unemployment rates. It allows users to automatically compare the data over varying periods of time in customizable charts, and then easily incorporate those charts into print or web publications."
Tableau Public for beginners (Hosted by Tableau Public),"Daniel Hom, Mike Klaczynski",Thursday,9 a.m. - 11:50 a.m.,Seneca/Iroquois,"Learn how to create beautiful, interactive data visualizations on short deadlines. &nbsp;No programming required. &nbsp;You'll learn everything you need to build data visualizations and publish them to your website just like a video. &nbsp;We'll teach you how to:"
Getting started: Digging deep with data journalism,"Angela Caputo, Jaimi Dowdell, Jill Riepenhoff",Thursday,9 a.m. - 9:50 a.m.,Regency Center,"Are you new to data journalism or does this happen to be your first time at a CAR conference? If so, this session will help you get on track to make sure that you get the best experience possible from the 2013 CAR Conference. We'll highlight sessions and give you tips for success during and after the conference."
Information design and crossing the digital divide,"Christopher Canipe, Helene Sears",Thursday,9 a.m. - 9:50 a.m.,Regency North,
Exploratory data analysis,Chase Davis,Thursday,9 a.m. - 9:50 a.m.,Regency South,
NewsCamp:: Data Science Master Class,Hadley Wickham,Thursday,9 a.m. - 4:50 p.m.,Keeneland,"This day-long, hands-on class taught by Hadley Wickham, author of theggplot2 R plug-in, Assistant Professor of Statistics at Rice University, and developer at RStudio. &nbsp;"
Python mini-bootcamp,TBA,Thursday,9 a.m. - 4:50 p.m.,Kentucky Suite,"This mini-bootcamp introduces Python as a general purpose tool for data wrangling and analysis. &nbsp;The daylong class will introduce language basics and useful libraries in the course of a typical data project: sraping data from the Web, inserting it in a database and analyzing the results. Attendees are expected to have a familiarity with databases and SQL. &nbsp;This class will take place all day Thursday. &nbsp;There is limited seating and an additional fee to attend.&nbsp;"
Hands-on: Rapid data publishing with Caspio (Hosted by Caspio),TBA,Thursday,9 a.m. - 10:50 a.m.,Shawnee/Cherokee,"This session will cover prepping and importing data, creating a searchable database, report interfaces and layouts and common customizations."
"Use FOIA Machine to prepare, send and track your public records requests","Chase Davis, Coulter Jones, Djordje Padejski, Shane Shifflett",Thursday,10 a.m. - 10:50 a.m.,Churchill Downs,FOIA Machine aids journalists and citizens in accessing important government documents around the world that are covered by freedom of information laws. Speakers will demonstrate how journalists can use the platform in regular work and make the FOIA process more successful and organized.
Waste investigations for any community,"Tim Eberly, Erin Jordan, Josh Sweigart, Wendell Cochran",Thursday,10 a.m. - 10:50 a.m.,Regency Center,"**Moderated by Wendell Cochran, Investigative Reporting Workshop"
Visualizing networks and connections,"Kevin Connor, Irene Liu",Thursday,10 a.m. - 10:50 a.m.,Regency South,
The data-driven story (Part 1) Conceiving and launching,"David Donald, Jennifer LaFleur, Brant Houston",Thursday,11 a.m. - 11:50 a.m.,Regency Center,"*Moderated by Brant Houston, University of Illinois"
Down and dirty with the DocumentCloud API,Ted Han,Thursday,11 a.m. - 11:50 a.m.,Churchill Downs,"Journalists use DocumentCloud to turn documents into data, but did you know you can interact with your documents through DocumentCloud's API? We'll show you how other journalists use DocumentCloud's API and demonstrate how you too can update or access your documents' data with some rudimentary scripting."
Web tools for investigators,"Mark Horvit, Jaimi Dowdell",Thursday,11 a.m. - 11:50 a.m.,Regency South,
Demo: New Map Mashup Wizard (Hosted by Caspio),TBA,Thursday,11 a.m. - 11:50 a.m.,Shawnee/Cherokee,Caspio's new Map Mashup Wizard (v7) automates Google map intergration in a single wizard and now includes icons and interactive filtering. &nbsp;Topics covered:
Monetizing your work,"Kevin Davis, Tommy Kaas, Nils Mulvad, Reginald Chua, Burt Herman",Thursday,11 a.m. - 11:50 a.m.,Regency North,"**Moderated by Reg Chua, Reuters"
Demo: Sneak peek of Caspio Bridge 8.0 Beta (Hosted by Caspio),TBA,Thursday,noon - 12:30 p.m.,Shawnee/Cherokee,"Get an exclusive preview of the new features and redesigned user interface. Plus, learn how to join the private beta for advanced access."
Dig deeper with social tools (Sponsored by Kiplinger Program in Public Affairs Journalism/Ohio State University),"Mandy Jenkins, Doug Haddix",Thursday,2 p.m. - 2:50 p.m.,Regency South,
Mobile + DataViz: Friends or frenemies?,"Miranda Mulligan, Pete Karl II",Thursday,2 p.m. - 2:50 p.m.,Regency North,"Mobile and responsive web design are changing the way stories are told. Complicated data visualizations, which used to be planned for the desktop, now need to be planned so they can work for mobile, tablets, and desktops. Different devices mean different user-experiences for visualizations, which changes how information is consumed. We'll show some samples of successful and not-so successful data visualizations on a responsively-designed news site. We'll talk about workflow, best practices and user-interface patterns that set you up for success."
Tableau Public for Pros (Hosted by Tableau Public),"Mike Klaczynski, Daniel Hom",Thursday,2 p.m. - 5 p.m.,Seneca/Iroquois,Take your data visualization skills to the next level. &nbsp;In this class we'll push Tableau's capabilities further to create more complex visualizations. &nbsp;You'll learn how to:&nbsp;
Hands-on: Build apps with user generated data (Hosted by Caspio),TBA,Thursday,2 p.m. - 4:30 p.m.,Shawnee/Cherokee,"This session will cover data submissions and photo uploads, Geo/mobile tagging for maps, content approval policies and tips to driving traffic and engagement."
Bringing Excel to the Web with Excel 2013 and SkyDrive,Cathy Harley,Thursday,2 p.m. - 2:50 p.m.,Churchill Downs,"This talk will cover how to use Excel Interactive View and Excel embedding to make your articles shine, keep people engaged with your site, with minimal effort and for free. The talk will also be showing off some of the latest features of Excel 2013 that make data analysis a snap."
