Title,Speaker,Day,Time,Place,Description
Smarter interactive Web projects with Google Spreadsheets and Tabletop.js,Tasneem Raja,Friday,11 a.m. - 11:50 a.m.,Churchill Downs,"Death to tediously hand-crafted flat files! This killer combo offers a way to suck structured data out of Google Spreadsheets and plug it into whatever program/platform/framework you'd like, via simple javascript syntax. Ergo, the data is easily shared with every reporter, editor, fact-checker, copy editor, etc. in your newsroom, and all updates are real time."
Is 911 a joke in your town?,"Ben Poston, Ben Welsh",Friday,11 a.m. - 11:50 a.m.,Regency Center,Get up and get down with our panel to go home with a game plan to find out if your local public safety departments are arriving. We'll break down all the jargon and provide a shake-and-bake recipe for analyzing 911 response times at any American fire department or EMS shop.
Excel 3,Coulter Jones,Friday,11 a.m. - 11:50 a.m.,Shawnee/Cherokee,"Learn pivot tables, filtering and more."
Intro to Javascript the right way,"Jeff Larson, Al Shaw",Friday,11 a.m. - 11:50 a.m.,Kentucky Suite,
Media Lawyers Brown Bag,"David B. Smallman, Esq., Jon Fleischaker, Monica Dias",Friday,noon - 1:45 p.m.,Regency South,"Here's your chance for informal Q&amp;A about legal issues. Bring your ""hypotheticals"" and your own lunch. &nbsp;Beverages and dessert will be provided."
D3? R? Tableau? What&#39;s right for you?,"Robert Kosara, Amanda Cox",Friday,2 p.m. - 2:50 p.m.,Regency North,"When it comes to visualizing data, you know you want to be nimble in something. But what should that something be? A look - with examples - at some of the trade-offs between using a tool like Tableau versus a programming approach like D3."
Mapping as a storytelling platform: Esri Story Maps and ArcGIS Online,Clem Henriksen,Friday,2 p.m. - 2:50 p.m.,Churchill Downs,Esri experts offer a 50-minute workshop to provide insight into how the company's new ArcGIS Online product can be maximized as a platform to enhance storytelling. Esri Story Maps and other app development tools that require no programming expertise are now available to make digital and print map generation more effective and easier to create.
Data on the fly: Real-time news coverage,"John Keefe, Mark Wert",Friday,2 p.m. - 2:50 p.m.,Regency South,
"Twitter mechanics, strategy and apps",Doug Haddix,Friday,2 p.m. - 2:50 p.m.,Gulfstream/Hialeah,
Mini-Boot Camp (Friday) Team A,TBA,Friday,2 p.m. - 4:50 p.m.,Seneca/Iroquois,"Kickstart your data skills with IRE's mini boot camp. &nbsp;This series of hands-on classes will introduce you to spreadsheets and databases with IRE's proven techniques. &nbsp;IRE's current and past trainers will walk you through sorting, calculating and interviewing data. &nbsp;You'll come away with a solid base for using data analysis in your own newsroom. &nbsp;In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference. &nbsp;Only 36 seats are available and there is an additional $50 registration fee. &nbsp;Pre-registrations are accepted on a first-come, first-served basis. &nbsp;Registration can be done online when you register for the conference. &nbsp;Sessions will be held Friday and Saturday afternoon and Sunday morning. &nbsp;"
Excel magic: Advanced functions for data cleaning and more,MaryJo Webster,Friday,2 p.m. - 2:50 p.m.,Keeneland,
Mini-Boot Camp (Friday) Team B,TBA,Friday,2 p.m. - 4:50 p.m.,Shawnee/Cherokee,*Pre-registered attendees only
Beyond the scoreboard: Using data to investigate sports,"Jack Gillum, Paula Lavigne",Friday,2 p.m. - 2:50 p.m.,Regency Center,
Getting started with open-source database manager MySQL,Alex Richards,Friday,2 p.m. - 2:50 p.m.,Kentucky Suite,
From CAR to news apps and back again,"Sarah Cohen, Lena Groeger, Ted Mellnik, Charles Ornstein, Serdar Tumgoren, Derek Willis, Troy Thibodeaux",Friday,3 p.m. - 3:50 p.m.,Regency North,"*Moderated by Troy Thibodeaux, The Associated Press"
Using OpenRefine to clean and explore dirty data,Tom Meagher,Friday,3 p.m. - 3:50 p.m.,Keeneland,
How to serve mad traffic,"Jeremy Bowers, Jacqui Maher, Scott Klein",Friday,3 p.m. - 3:50 p.m.,Churchill Downs,
Searching the global deep web for better data and information,Scott Swigart,Friday,3 p.m. - 3:50 p.m.,Regency South,
Practical document mining with DocumentCloud and overview,"Ted Han, Jonathan Stray",Friday,3 p.m. - 3:50 p.m.,Kentucky Suite,"Tame that stack of documents! In this workshop we'll walk you through the analysis of a large set of text documents (thousands of pages) using two free tools: DocumentCloud and Overview. You'll learn how to upload, OCR, search, visualize, cluster, tag, annotate, and publish your documents."
